,iso3,Agreement,Agreement_Web,Agreement_TW
0,AFG,0.767333149,0.8836074177746676,0.662450174389636
1,ALB,0.739005604,0.7834650673602919,0.916981829457708
2,DZA,0.889887822,0.8315890861115832,0.897666068222621
3,AND,0.894593087,0.9141692167155372,0.896937261056198
4,AGO,0.827021067,0.9022387768633722,0.86993031313818
5,ARG,0.954029822,0.9133544887678168,0.903152760495339
6,ARM,0.883436875,,0.889100834198286
7,AUS,0.870920488,0.8375290860433221,0.8871014667632
8,AUT,0.883505273,0.779614168,0.913247990670616
9,AZE,0.847360283,0.8681846567709084,0.893611366214683
10,BHR,0.871114231,0.8755088795799162,0.940595351755224
11,BGD,0.78786135,,0.773495245916907
12,BRB,0.757686349,0.9451805233521032,0.847148415680265
13,BLR,0.876651953,0.7327414056286966,0.854947143933188
14,BEL,0.917139087,0.817925947,0.926795826925696
15,BLZ,0.861241981,0.7928512211347531,0.830158071897007
16,BEN,0.820815237,0.8757709980543942,0.830310418732426
17,BTN,0.697140791,0.8815583162465324,0.74911999784935
18,BOL,0.929285937,0.9254070643062148,0.8904425748158
19,BIH,0.248188038,0.046861512,0.948992682130954
20,BWA,0.689187318,0.6570994647889612,
21,BRA,0.93162677,0.6771433886913797,0.924129270732129
22,BRN,0.58306913,0.076923077,0.809649065068025
23,BGR,0.850888858,0.8379803957231756,0.900503703162733
24,BFA,0.846751744,0.8615272878190496,
25,CPV,0.853400981,0.8815316560685651,0.863287459853229
26,KHM,0.779138801,,0.83167432393877
27,CMR,0.834678199,0.6182155709688001,0.858716719716676
28,CAN,0.879647799,0.741711588,0.897519838459702
29,CAF,0.597850166,0.8204333527036118,0.848212986038159
30,TCD,0.74474364,0.8434903047091413,0.843414210133184
31,CHL,0.953645638,0.8560463186487128,0.884583179262927
32,CHN,0.603760388,0.8385004036004379,0.857448289063874
33,COL,0.944984721,0.680154701,0.87446409617998
34,COM,0.747510867,0.9190975387420236,0.841267239306712
35,CRI,0.936046906,0.7243066274332473,0.88018096106566
36,HRV,0.494483503,0.1158087159629603,0.919816070395221
37,CUB,0.919739104,0.955466322,0.869661049639094
38,CYP,0.903798797,0.9097472924187726,0.926827396434512
39,CZE,0.894074238,0.8660475226116169,0.935458786411339
40,CIV,0.919424122,0.8231974174999256,
41,COD,0.852883851,0.7412950603565488,
42,DNK,0.889033021,0.8316572966581892,0.934837787684235
43,DJI,0.839859619,0.7867267552637515,0.822586974600031
44,DOM,0.930852049,0.8510094523785061,
45,ECU,0.939318364,0.8980708117239832,0.878091871582596
46,EGY,0.828059091,0.8057040998217468,
47,SLV,0.952928209,0.9959329829491588,0.901165016793956
48,GNQ,0.800470325,,0.858060677025847
49,ERI,0.730527499,,0.809638426278251
50,EST,0.799114773,0.809137015,0.838954223787221
51,SWZ,0.663421101,0.8809145760558907,0.810742219423472
52,ETH,0.818560424,0.876507369,0.855473966281954
53,FSM,0.865253768,,0.907785995880298
54,FJI,0.83987186,,0.857203608466629
55,FIN,0.93823006,0.8478877362748936,0.967937098455166
56,FRA,0.925544281,0.8013234012948237,0.923854040516789
57,GAB,0.837666559,0.8233982605756247,0.895598460256185
58,GMB,0.762242515,0.7137833189083778,0.813842564629834
59,GEO,0.857287119,0.9165709927166096,0.833020389423869
60,DEU,0.908557277,0.7631352812474865,0.918053905481518
61,GHA,0.787855922,,0.790626342317458
62,GRC,0.93459831,0.8537731758510854,0.944884240481921
63,GRD,0.83519619,0.8132859730598067,0.881381943012155
64,GTM,0.950098788,0.9037212391453524,0.903754743180202
65,GUY,0.641395434,0.7624554012810042,0.89206454057597
66,HTI,0.906415268,0.8639911513558901,0.896695212171492
67,HND,0.912937548,0.9623666356717292,0.875753054396269
68,HKG,0.693602368,0.7578949477286391,
69,HUN,0.78815383,0.8399802724320085,0.867445782670715
70,ISL,0.759064445,0.6900516442580229,0.891511409732712
71,IND,0.612754994,0.7056277462329156,0.716979147462962
72,IDN,0.14494169,0.065399019,0.750101978755605
73,IRN,0.918966299,0.9646152224994218,0.905390325714876
74,IRQ,0.83195084,0.8937550689375506,0.903309517762293
75,IRL,0.895302493,0.7283023557841817,0.89927212507383
76,ISR,0.897822861,,0.935307961353508
77,ITA,0.906844754,0.7703503524664861,0.920260208828766
78,JAM,0.854155118,,0.768265219350775
79,JPN,0.431573166,0.7740681634255917,0.978939950288487
80,JOR,0.859971066,0.8149977609826088,0.924339356635078
81,KAZ,0.845404169,0.7548930408780202,0.861053440294637
82,KEN,0.830065267,0.576874206,0.805663220498693
83,KIR,0.636794278,0.940766550522648,0.824269967124347
84,KWT,0.906070181,0.085635359,0.950213906188016
85,KGZ,0.894949547,0.7827680319755732,
86,LAO,0.482845625,,
87,LVA,0.913613381,0.8201319481396511,0.931061147375361
88,LBN,0.897760401,,0.925708616626382
89,LBR,0.771348126,,0.869593269783568
90,LBY,0.85521521,,0.914868564806419
91,LIC,0.845988301,,0.905500849239728
92,LTU,0.875823448,0.8230395372876597,0.879193570441045
93,LUX,0.869005244,0.7334797053205283,0.904546532083994
94,MDG,0.826964789,0.8415213946117274,0.891925824760923
95,MWI,0.732926645,0.7689026430244229,0.821025983247449
96,MYS,0.339521905,0.412093872116923,0.813010670668051
97,MDV,0.620219779,0.9027890791364416,0.714080646286055
98,MLI,0.80458114,0.8251519834947393,0.869532703421704
99,MHL,0.843476799,,0.870947630922693
100,MRT,0.913437765,,0.927247748435353
101,MUS,0.847128827,0.8478708350322165,0.88051526419306
102,MEX,0.94183612,0.8968997133946034,0.889757320850109
103,MDA,0.856235694,0.8227926337228796,0.842931129985229
104,MNG,0.932060124,0.916701149,0.935599993325992
105,MAR,0.869043071,0.885292758,0.866507354886134
106,MOZ,0.817305221,0.888998493,0.826841464306381
107,MMR,0.829869424,,0.860397099771704
108,NAM,0.821543426,0.6529117636665607,
109,NPL,0.65527289,,0.765487015110879
110,NLD,0.904253975,0.8661026841235304,0.93674663917995
111,NZL,0.860891158,0.8338689559495476,0.895935450286309
112,NIC,0.929975572,,0.862651121444201
113,NER,0.81724835,0.881127709,0.894280897040446
114,NGA,0.808938587,0.9062539826518357,0.805493772686071
115,PRK,0.709778534,,0.831099436718227
116,MKD,0.832900338,0.9131667501167836,0.925700360339868
117,NOR,0.73063679,0.8430156886260348,0.91596611132887
118,OMN,0.886797271,0.9361519646771068,0.881730471534413
119,PAK,0.779146663,0.6530229071910629,0.751510285325532
120,PLW,0.905422314,0.6381967817685097,0.894940438673894
121,PAN,0.940764953,0.9221574344023324,0.892778643221442
122,PNG,0.600053399,,0.818426676387199
123,PRY,0.937741013,0.5980744154475466,0.890301261551465
124,PER,0.925114911,0.9230062330190189,0.862387753563892
125,PHL,0.58328325,0.7708747153809443,0.777212700939924
126,POL,0.952929265,0.8702057938140094,0.953980324743847
127,PRT,0.934853196,0.8383972005011955,0.933803326985099
128,QAT,0.873486389,0.85178585,0.885563784896276
129,ROU,0.862063211,0.869956119,0.857462937323247
130,RUS,0.856695798,0.7642429549143654,0.830322750484229
131,KNA,0.823759258,0.8635794743429287,0.919388851852356
132,WSM,0.737091836,,0.791294068671921
133,STP,0.889051165,0.7207277070553157,0.888078721950707
134,SAU,0.869907311,0.8981034616428267,0.914970641403295
135,SEN,0.764653493,0.8995554786445884,0.807316503958971
136,SRB,0.115171629,0.1586475649826346,
137,SYC,0.691337717,0.5565064127996002,0.62296450474717
138,SGP,0.579124409,0.6563295942947909,
139,SVK,0.797624398,0.8362439519410663,
140,SVN,0.844614639,0.8684708646428396,0.922743236580539
141,SLB,0.708361624,0.8427859014453554,0.81195028497227
142,SOM,0.769831373,0.7457705152343911,0.746854866006938
143,ZAF,0.806447004,,0.842744177120778
144,KOR,0.724596341,0.7610615331789298,0.862489253646893
145,ESP,0.940856087,0.8479924696802494,0.90725685793809
146,LKA,0.814973948,0.7843793873929198,0.814722741607745
147,SDN,0.763937068,0.7883017147666305,0.864417213607102
148,SUR,0.751877764,0.7718934290575977,0.911247100536563
149,SWE,0.878726018,0.7750818293089867,0.935942503494784
150,CHE,0.87344265,0.732561753,0.897939383359295
151,SYR,0.887270836,0.9274478105715188,0.92395990924137
152,TJK,0.52909512,0.7683505812217406,0.942067522202864
153,TZA,0.829391223,,0.839677131112537
154,THA,0.861036059,0.8077464788732395,0.915196957448633
155,TLS,0.699897454,0.8028398247505472,
156,TGO,0.820369291,0.8381275091156863,0.869065809579008
157,TON,0.855919993,,0.925903345120514
158,TUN,0.882376646,0.8382358550136247,0.865859048593294
159,TUR,0.904455521,0.694983335,0.936411279878282
160,TKM,0.782829198,0.875337539,
161,TUV,0.881984338,,0.804693055226357
162,UGA,0.84623949,0.8053374506977323,0.785065867834219
163,UKR,0.876102532,0.7728706377217501,0.902872564533196
164,ARE,0.831318201,0.7551670303436255,
165,GBR,0.891182597,0.7566087995990494,0.903494647505536
166,USA,0.873338508,0.7022258043683959,0.894942048704411
167,URY,0.957226649,0.920812198,0.902792431688917
168,UZB,0.674437429,0.7969618489870737,
169,VEN,0.9586159,0.8871274324977019,0.884431362565123
170,VNM,0.779408694,0.9496595652215092,0.801737538393024
171,YEM,0.8845337,,0.893567217304007
172,ZMB,0.829070583,0.663013699,0.869254903961432
173,ZWE,0.808181159,,0.838966267593581
174,ASM,,0.7465602133350469,
175,ABW,,0.3741294272188762,
176,BHS,,0.8485076670317634,
177,BMU,,0.8819595289813651,
178,BDI,,0.7346989682903953,
179,TCA,,0.8708059258373996,
180,CYM,,0.8649938079866821,
181,CXR,,0.8691777424521311,
182,COK,,0.9092063492063492,
183,CUW,,0.6128272427485026,
184,DMA,,0.8289969660752046,
185,FRO,,0.9106688588419098,
186,GUF,,0.9403973509933776,
187,PYF,,0.9186479951642152,
188,GIB,,0.8791040148814138,
189,GRL,,0.8632720154937247,
190,GLP,,0.6341441800700075,
191,GUM,,0.9130434782608696,
192,GNB,,0.8784602589996435,
193,IMN,,0.7052250156272459,
194,JEY,,0.8338500125407574,
195,LSO,,0.8407079646017699,
196,LIE,,0.6982107277771913,
197,MAC,,0.7950573413018899,
198,MLT,,0.6550169352576963,
199,MTQ,,0.8524371244157578,
200,MYT,,0.3320698246589436,
201,MCO,,0.8502026329700204,
202,NRU,,0.4319419793132995,
203,NCL,,0.8699784397412769,
204,NFK,,0.7103126743830216,
205,MNP,,0.7000660162840168,
206,PSE,,0.963176290507854,
207,PRI,,0.9480299007575378,
208,COG,,0.8086108676599474,
209,RWA,,0.3041902487148865,
210,REU,,0.4201021134994734,
211,LCA,,0.8331142235930626,
212,VCT,,0.8666903010073637,
213,SMR,,0.7055119675408954,
214,SLE,,0.8374914946699932,
215,SXM,,0.4051963589740784,
216,TWN,,0.9034958198036106,
217,VAT,,0.8287545584426599,
218,TTO,,0.6386440822778051,
219,VUT,,0.628986161,
220,VIR,,0.7954086026102198,
221,WLF,,0.7333968102832659,
222,ALA,,0.9348217187427456,
